"KundenadressePLZ","Ort","Land","Sum(Totalbetrag)","adresse","coordinate","latitude","longitude"
5305,"Unterendingen","Schweiz",246.89999999999998,"5305 Unterendingen, Schweiz","47.5458736 8.2864262",47.5458736,8.2864262
5306,"Tegerfelden","Schweiz",1074.4,"5306 Tegerfelden, Schweiz","47.5678828 8.2898208",47.5678828,8.2898208
5312,"Döttingen","Schweiz",2733.2999999999997,"5312 Döttingen, Schweiz","47.5581466 8.253506699999999",47.5581466,8.253506699999999
5313,"Klingnau","Schweiz",5109.8499999999985,"5313 Klingnau, Schweiz","47.5898545 8.2597033",47.5898545,8.2597033
5314,"Kleindöttingen","Schweiz",5575.35,"5314 Kleindöttingen, Schweiz","47.569125 8.2384529",47.569125,8.2384529
5315,"Böttstein","Schweiz",830.5500000000001,"5315 Böttstein, Schweiz","47.5708388 8.2463587",47.5708388,8.2463587
5316,"Felsenau AG","Schweiz",4879.049999999999,"5316 Felsenau AG, Schweiz","47.6020756 8.22025",47.6020756,8.22025
5317,"Hettenschwil","Schweiz",140.35,"5317 Hettenschwil, Schweiz","47.57653 8.199194",47.57653,8.199194
5318,"Mandach","Schweiz",814.9,"5318 Mandach, Schweiz","47.5531702 8.185202799999999",47.5531702,8.185202799999999
5322,"Koblenz","Schweiz",7138.049999999999,"5322 Koblenz, Schweiz","47.60954 8.23842",47.60954,8.23842
5323,"Rietheim","Schweiz",2679.0500000000006,"5323 Rietheim, Schweiz","47.6006299 8.2786232",47.6006299,8.2786232
5324,"Full-Reuenthal","Schweiz",4385.5999999999985,"5324 Full-Reuenthal, Schweiz","47.6031455 8.2024641",47.6031455,8.2024641
