"ID";"Name";"Strasse";"PLZ";"Ort";"Adresse";"coordinate";"latitude";"longitude"
231;"LANDI Thurland Genossenschaft";"Tegelbachstrasse 4";8546;"Islikon";"Tegelbachstrasse 4, Islikon, Switzerland";"47.54614249999999 8.8419238";47.54614249999999;8.8419238
232;"LANDI Thurland Genossenschaft";"Hauptstrasse 36";8552;"Felben";"Hauptstrasse 36, Felben, Switzerland";"47.5959835 8.9555844";47.5959835;8.9555844
233;"LANDI Mittelthurgau";"Dorfstrasse 18";8560;"Märstetten";"Dorfstrasse 18, Märstetten, Switzerland";"47.5918815 9.068893899999999";47.5918815;9.068893899999999
234;"LANDI Mittelthurgau";"Weiherhüslistrasse 2";8564;"Sonterswil";"Weiherhüslistrasse 2, Sonterswil, Switzerland";"47.6206986 9.078189199999999";47.6206986;9.078189199999999
235;"LANDI Mittelthurgau";"Oberfeldenstrasse 1";8570;"Weinfelden";"Oberfeldenstrasse 1, Weinfelden, Switzerland";"47.560204 9.1318664";47.560204;9.1318664
236;"LANDI Berg Genossenschaft";"Leberenstrasse 1";8572;"Berg TG";"Leberenstrasse 1, Berg TG, Switzerland";"47.5791403 9.1658131";47.5791403;9.1658131
237;"LANDI Kemmental Genossenschaft";"Alterswilerstrasse 6";8573;"Siegershausen";"Alterswilerstrasse 6, Siegershausen, Switzerland";"47.6104687 9.1674922";47.6104687;9.1674922
238;"LANDI Markt Aachtal AG";"Schrofenstrasse 20";8580;"Amriswil";"Schrofenstrasse 20, Amriswil, Switzerland";"47.54848 9.27463";47.54848;9.27463
239;"LANDI Mittelthurgau";"Hauptstrasse 1";8584;"Leimbach";"Hauptstrasse 1, Leimbach, Switzerland";"47.2896076 8.144344499999999";47.2896076;8.144344499999999
240;"LANDI Markt Altnau";"Wuhrwiesenstrasse 7";8595;"Altnau";"Wuhrwiesenstrasse 7, Altnau, Switzerland";"47.6117074 9.260258799999999";47.6117074;9.260258799999999
241;"LANDI Zola AG";"Tolackerstrasse 30";8604;"Hegnau-Volketswil";"Tolackerstrasse 30, Hegnau-Volketswil, Switzerland";"47.3919384 8.675137800000002";47.3919384;8.675137800000002
242;"LANDI Zola AG";"Mettlenbachstrasse 11";8617;"Mönchaltorf";"Mettlenbachstrasse 11, Mönchaltorf, Switzerland";"47.3025521 8.7211688";47.3025521;8.7211688
243;"LANDI Wetzikon-Seegräben Genossenschaft";"Motorenstrasse 87";8620;"Wetzikon";"Motorenstrasse 87, Wetzikon, Switzerland";"47.3319383 8.794533399999999";47.3319383;8.794533399999999
244;"LANDI Hombrechtikon Genossenschaft";"Rütistrasse 9";8634;"Hombrechtikon";"Rütistrasse 9, Hombrechtikon, Switzerland";"47.251846 8.7677099";47.251846;8.7677099
245;"LANDI Bachtel Genossenschaft";"Kreuzstrasse 10";8635;"Dürnten";"Kreuzstrasse 10, Dürnten, Switzerland";"47.2750181 8.8257048";47.2750181;8.8257048
